product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544887181385,AC0164L,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0164L.png,https://www.akwa.co.za/wp-content/uploads/2020/03/AC0164L-300x300.png
gid://shopify/Product/15544894357577,AC1007,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1007.png,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1007-300x300.png
gid://shopify/Product/15544894062665,AC1008,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1008.png,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1008-300x300.png
gid://shopify/Product/15544894160969,AC1022,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1022.png,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1022-300x300.png
gid://shopify/Product/15544893866057,AC1024,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1024.png,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1024-300x300.png
gid://shopify/Product/15544894390345,AC1025,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1025.png,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1025-300x300.png
gid://shopify/Product/15544894685257,AC1027,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1027.png,https://www.akwa.co.za/wp-content/uploads/2024/03/AC1027-300x300.png
gid://shopify/Product/15544894226505,AC1030,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1030.png,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1030-300x300.png
gid://shopify/Product/15544894292041,AC1034,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1034.png,https://www.akwa.co.za/wp-content/uploads/2022/10/AC1034-300x300.png
gid://shopify/Product/15544902254665,AD0075,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/AD0075.png,https://www.akwa.co.za/wp-content/uploads/2025/10/AD0075-300x300.png
gid://shopify/Product/15544893112393,AFM0105,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0105-e1750924693258.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AFM0105-e1750924693258-300x300.png
